InChI                                                               	SMILES                  	Specie  	NameInMech  	Formula  	NoGAVs  	GAVsName                                                                                                        	Quantity                            	Symmetry	Rotors	IfRad	ParentMol   	C 	H 	O 	N 	Linearity
InChI=1S/C5H12O2/c1-3-4-5(2)7-6/h5-6H,3-4H2,1-2H3                   	CC(OO)CCC               	NPT2O2H 	C5H11O2H-2   	C5H12O2 	10      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,OI                                                                    	2,2,1,1,1,1,2                   	9       	6     	no  	no          	5 	12	2 	0 	no
InChI=1S/C5H12O2/c1-3-5(4-2)7-6/h5-6H,3-4H2,1-2H3                   	CCC(OO)CC               	NPT3O2H 	C5H11O2H-3   	C5H12O2 	10      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,OI                                                                    	2,2,1,1,2,1,1                   	9       	6     	no  	no          	5 	12	2 	0 	no
InChI=1S/C5H12O2/c1-3-5(2)4-7-6/h5-6H,3-4H2,1-2H3                   	CC(CC)COO               	IPT1O2H 	AC5H11O2H   	C5H12O2 	11      	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,AG,OI                                                          	2,1,1,1,1,1,1,1,2               	9       	6     	no  	no          	5 	12	2 	0 	no
InChI=1S/C5H12O2/c1-4-5(2,3)7-6/h6H,4H2,1-3H3                       	CCC(OO)(C)C             	IPT2O2H 	BC5H11O2H   	C5H12O2 	11      	C/C/H3,C/C2/H2,C/C3/OO,OO/CT/H,GA/OOH,GA/OH,AG,OI                                                                   	3,1,1,1,1,2,1,1                 	27      	6     	no  	no          	5 	12	2 	0 	no
InChI=1S/C5H12O2/c1-4(2)5(3)7-6/h4-6H,1-3H3                         	OOC(C(C)C)C             	IPT3O2H 	CC5H11O2H   	C5H12O2 	11      	C/C/H3,C/C3/H,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,AG,OI                                                                  	3,1,1,1,1,1,1,2                 	27      	6     	no  	no          	5 	12	2 	0 	no
InChI=1S/C5H12O2/c1-5(2)3-4-7-6/h5-6H,3-4H2,1-2H3                   	OOCCC(C)C               	IPT4O2H 	DC5H11O2H   	C5H12O2 	10      	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,AG/COOH,OI                                                     	2,1,1,1,1,1,1,1,1               	9       	6     	no  	no          	5 	12	2 	0 	no
InChI=1S/C5H12O2/c1-5(2,3)4-7-6/h6H,4H2,1-3H3                       	OOCC(C)(C)C             	NEOPTO2H	NEOC5H11O2H  	C5H12O2 	10      	C/C/H3,C/C4,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI                                                                       	3,1,1,1,2,1,1                   	81      	6     	no  	no          	5 	12	2 	0 	no
InChI=1S/C6H14O2/c1-4-6(2,3)5-8-7/h7H,4-5H2,1-3H3                   	CCC(COO)(C)C            	22DMB1O2H	NEC6-1OOH   	C6H14O2 	13      	C/C/H3,C/C2/H2,C/C4,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,AG,OI                                                            	3,1,1,1,1,2,1,2,1               	27      	7     	no  	no          	6 	14	2 	0 	no
InChI=1S/C6H14O2/c1-5(8-7)6(2,3)4/h5,7H,1-4H3                       	OOC(C(C)(C)C)C          	22DMB3O2H	NEC6-3OOH   	C6H14O2 	14      	C/C/H3,C/C4,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,AG,OI                                                                    	4,1,1,1,2,1,2,2                 	243     	7     	no  	no          	6 	14	2 	0 	no
InChI=1S/C6H14O2/c1-6(2,3)4-5-8-7/h7H,4-5H2,1-3H3                   	OOCCC(C)(C)C            	22DMB4O2H	NEC6-4OOH   	C6H14O2 	12      	C/C/H3,C/C2/H2,C/C4,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,AG/COOH,OI                                                       	3,1,1,1,1,1,1,2,1               	81      	7     	no  	no          	6 	14	2 	0 	no
